position.x,obj_dois,title_vector,position.y,relationType,relatedIdentifierType,subj_dois,subjtitle_vector
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",6,References,DOI,10.15468/dl.gx742r,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",10,References,DOI,10.15468/dl.zycegr,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",15,References,DOI,10.15468/dl.459uag,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
5,10.21966/ymv6-8024,"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,2,References,DOI,10.15468/dl.nqbg5v,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,5,References,DOI,10.15468/dl.3c2mmc,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,7,References,DOI,10.15468/dl.hz87ut,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,11,References,DOI,10.15468/dl.5bs8n8,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,12,References,DOI,10.15468/dl.862h55,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,13,References,DOI,10.15468/dl.3yf6de,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,14,References,DOI,10.15468/dl.23aja3,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,15,References,DOI,10.15468/dl.459uag,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,16,References,DOI,10.15468/dl.ajb76z,Occurrence Download
