cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,alternative_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,tow_distance_nautical_miles,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,swell_height_meters,weather_description,comments,day_of_year
IYS2022,TINRO,3,30,CTD,IYS2022-TINRO-3-30-CTD,NA,2022-03-18T10:34:25Z,2022,3,18,10:34:25,11:02:54,28,NA,UTC,0,1000,NA,48.62582,-163.02722,48.61713,-163.02579,5080,NA,310,50.4,2,NA,NA,NA,77
IYS2022,TINRO,3,31,CTD,IYS2022-TINRO-3-31-CTD,NA,2022-03-18T23:27:45Z,2022,3,18,23:27:45,23:59:35,32,NA,UTC,0,1000,NA,48.1473,-165.10615,48.1534,-165.12043,4500,NA,42,61.2,2.5,NA,NA,NA,77
IYS2022,TINRO,3,32,CTD,IYS2022-TINRO-3-32-CTD,NA,2022-03-19T16:34:30Z,2022,3,19,16:34:30,16:59:06,25,NA,UTC,0,1000,NA,49.04556,-165.10311,49.04476,-165.10855,5000,NA,340,79.2,4,NA,NA,NA,78
IYS2022,NW,2,1,Trawl,IYS2022-NW-2-1-Trawl,NA,2022-04-03T23:20:10Z,2022,4,3,23:20:10,00:21:01,61,NA,UTC,0,33.77,NA,53.6245,-162.972,53.6893,-162.9963,NA,NA,NA,NA,NA,NA,NA,NA,93
IYS2022,NW,2,2,Trawl,IYS2022-NW-2-2-Trawl,NA,2022-04-04T17:30:32Z,2022,4,4,17:30:32,18:31:25,61,NA,UTC,0,35.34,NA,52.6629,-163.1263,52.596,-163.0646,NA,NA,NA,NA,NA,NA,NA,NA,94
IYS2022,NW,2,3,Trawl,IYS2022-NW-2-3-Trawl,NA,2022-04-05T01:55:04Z,2022,4,5,01:55:04,02:56:01,61,NA,UTC,0,35.9,NA,51.6803,-163.1202,51.6295,-163.053,NA,NA,NA,NA,NA,NA,NA,NA,95
IYS2022,NW,2,4,Trawl,IYS2022-NW-2-4-Trawl,NA,2022-04-05T17:02:57Z,2022,4,5,17:02:57,18:03:49,61,NA,UTC,0,34.47,NA,50.6348,-163.041,50.5643,-163.0179,NA,NA,NA,NA,NA,NA,NA,NA,95
IYS2022,NW,2,5,Trawl,IYS2022-NW-2-5-Trawl,NA,2022-04-06T02:03:36Z,2022,4,6,02:03:36,03:04:29,60,NA,UTC,0,33.98,NA,49.6047,-163.0316,49.5334,-163.0026,NA,NA,NA,NA,NA,NA,NA,NA,96
IYS2022,NW,2,6,Trawl,IYS2022-NW-2-6-Trawl,NA,2022-04-06T17:12:22Z,2022,4,6,17:12:22,18:13:25,61,NA,UTC,0,35.58,NA,49.1645,-165.1364,49.2255,-165.1187,NA,NA,NA,NA,NA,NA,NA,NA,96
IYS2022,NW,2,6,Trawl,IYS2022-NW-2-6-Trawl2,NA,2022-04-06T20:43:51Z,2022,4,6,20:43:51,20:59:04,15,NA,UTC,0,428.08,NA,49.3063,-165.1664,49.3201,-165.1657,NA,NA,NA,NA,NA,NA,NA,NA,96
IYS2022,NW,2,7,Trawl,IYS2022-NW-2-7-Trawl,NA,2022-04-07T03:43:58Z,2022,4,7,03:43:58,04:44:50,61,NA,UTC,0,35.8,NA,50.1573,-165.1813,50.2246,-165.1921,NA,NA,NA,NA,NA,NA,NA,NA,97
IYS2022,NW,2,8,Trawl,IYS2022-NW-2-8-Trawl,NA,2022-04-07T16:58:45Z,2022,4,7,16:58:45,17:59:45,61,NA,UTC,0,35.3,NA,51.1815,-165.231,51.2497,-165.2472,NA,NA,NA,NA,NA,NA,NA,NA,97
